SRR8926261_2.fastq	13-6929893_2.fastq
SRR8926262_2.fastq	13-6929892_2.fastq
SRR8926263_2.fastq	13-6929891_2.fastq
SRR8926264_2.fastq	13-6929890_2.fastq
SRR8926265_2.fastq	13-6929889_2.fastq
SRR8926266_2.fastq	13-6929887_2.fastq
SRR8926267_2.fastq	13-6929886_2.fastq
SRR8926268_2.fastq	13-6929896_2.fastq
SRR8926269_2.fastq	13-6929895_2.fastq
SRR8926270_2.fastq	13-6929606_2.fastq
SRR8926271_2.fastq	13-6929607_2.fastq
SRR8926272_2.fastq	13-6929600_2.fastq
SRR8926273_2.fastq	13-6929601_2.fastq
SRR8926274_2.fastq	13-6929595_2.fastq
SRR8926275_2.fastq	13-6929599_2.fastq
SRR8926276_2.fastq	13-6929604_2.fastq
SRR8926277_2.fastq	13-6929605_2.fastq
SRR8926278_2.fastq	13-6929602_2.fastq
SRR8926279_2.fastq	13-6929603_2.fastq
SRR8926280_2.fastq	13-6929659_2.fastq
SRR8926281_2.fastq	13-6929661_2.fastq
SRR8926282_2.fastq	13-6929656_2.fastq
SRR8926283_2.fastq	13-6929657_2.fastq
SRR8926284_2.fastq	13-6929653_2.fastq
SRR8926285_2.fastq	13-6929655_2.fastq
SRR8926286_2.fastq	13-6929650_2.fastq
SRR8926287_2.fastq	13-6929651_2.fastq
SRR8926288_2.fastq	13-6929648_2.fastq
SRR8926289_2.fastq	13-6929649_2.fastq
SRR8926290_2.fastq	13-6929835_2.fastq
SRR8926291_2.fastq	13-6929843_2.fastq
SRR8926292_2.fastq	13-6929833_2.fastq
SRR8926293_2.fastq	13-6929834_2.fastq
SRR8926294_2.fastq	13-6929882_2.fastq
SRR8926295_2.fastq	13-6929883_2.fastq
SRR8926296_2.fastq	13-6929858_2.fastq
SRR8926297_2.fastq	13-6929881_2.fastq
SRR8926298_2.fastq	13-6929884_2.fastq
SRR8926299_2.fastq	13-6929885_2.fastq
SRR8926300_2.fastq	13-6929623_2.fastq
SRR8926301_2.fastq	13-6929619_2.fastq
SRR8926302_2.fastq	13-6929591_2.fastq
SRR8926303_2.fastq	13-6929592_2.fastq
SRR8926304_2.fastq	13-6929578_2.fastq
SRR8926305_2.fastq	13-6929580_2.fastq
SRR8926306_2.fastq	13-6929544_2.fastq
SRR8926307_2.fastq	13-6929577_2.fastq
SRR8926308_2.fastq	13-6929586_2.fastq
SRR8926309_2.fastq	13-6929589_2.fastq
SRR8926310_2.fastq	13-6929582_2.fastq
SRR8926311_2.fastq	13-6929583_2.fastq
SRR8926312_2.fastq	13-6929741_2.fastq
SRR8926313_2.fastq	13-6929574_2.fastq
SRR8926314_2.fastq	13-6929573_2.fastq
SRR8926315_2.fastq	13-6929555_2.fastq
SRR8926316_2.fastq	13-6929554_2.fastq
SRR8926317_2.fastq	13-6929553_2.fastq
SRR8926318_2.fastq	13-6929552_2.fastq
SRR8926319_2.fastq	13-6929568_2.fastq
SRR8926320_2.fastq	13-6929558_2.fastq
SRR8926321_2.fastq	13-6929557_2.fastq
SRR8926322_2.fastq	13-6929556_2.fastq
